state,geo_value,date
Alabama,AL,7/16/20
Alaska,AK,
Arizona,AZ,
Arkansas,AR,7/20/20
California,CA,6/18/20
Colorado,CO,7/17/20
Connecticut,CT,4/17/20
Delaware,DE,5/1/20
District of Columbia,DC,4/3/20
Florida,FL,
Georgia,GA,
Hawaii,HI,4/20/20
Idaho,ID,
Illinois,IL,5/1/20
Indiana,IN,7/27/20
Iowa,IA,
Kansas,KS,
Kentucky,KY,7/10/20
Louisiana,LA,7/13/20
Maine,ME,5/1/20
Maryland,MD,4/18/20
Massachusetts,MA,5/6/20
Michigan,MI,4/26/20
Minnesota,MN,7/25/20
Mississippi,MS,
Missouri,MO,
Montana,MT,7/15/20
Nebraska,NE,
Nevada,NV,6/25/20
New Hampshire,NH,
New Jersey,NJ,4/10/20
New Mexico,NM,5/15/20
New York,NY,4/15/20
North Carolina,NC,6/26/20
North Dakota,ND,
Ohio,OH,7/23/20
Oklahoma,OK,
Oregon,OR,7/1/20
Pennsylvania,PA,4/17/20
Rhode Island,RI,4/20/20
South Carolina,SC,
South Dakota,SD,
Tennessee,TN,
Texas,TX,7/3/20
Utah,UT,
Vermont,VT,8/1/20
Virginia,VA,5/29/20
Washington,WA,6/26/20
West Virginia,WV,7/7/20
Wisconsin,WI,8/1/20
Wyoming,WY,